Team Name,Region,CSL Link,Series Record,Series Wins,Series Losses,Game Record,Game Wins,Game Losses,Average Rank,Average Rank Number,First OP.GG,Second OP.GG
UMBC Underdogs,North-east | 3,https://cstarleague.com/lol/teams/10822,6 - 0,6,0,13 - 0,13,0,Diamond 4,21.0,"https://na.op.gg/multi/query=Tsun,Aphotical,YikesItsWykes,Gobblgut,Trap7x,Malodeus,iTeelar,Bowbie Bot,UberYeets,",
NJIT B,North-east | 3,https://cstarleague.com/lol/teams/7770,5 - 2,5,2,11 - 5,11,5,Gold 1,16.0,"https://na.op.gg/multi/query=Øctave,Star Chow,The Fly Spy Guy,mysteryx555,Penguinsanta,AgaGaiinz,kaspookyy,",
UMD.OLoL,North-east | 3,https://cstarleague.com/lol/teams/11103,5 - 0,5,0,10 - 0,10,0,Platinum 2,19.0,"https://na.op.gg/multi/query=SebC,Inner Pead,missbye,Im Choi,RaguDragon,Eternal Wind,F for Fizz,",
UMBC Little Pawgers,North-east | 3,https://cstarleague.com/lol/teams/11032,4 - 1,4,1,8 - 2,8,2,Platinum 4,17.0,"https://na.op.gg/multi/query=StarBoy237,YikesItsWykes,Linkool,Freezeskybird,Lil Coca,trickshoot111,Mîtçh,Project Fury,muddyfeti,Azil,",
UD VGTC JV Team,North-east | 3,https://cstarleague.com/lol/teams/6529,4 - 1,4,1,8 - 3,8,3,Platinum 1,20.0,"https://na.op.gg/multi/query=IntoTheDusk,Dayuni,Kingkyu24,DontTiltWeScale,XxFaZecLaNxX69,Ceige,MIDestinydo,WilliLove,",
Green Lightning,North-east | 3,https://cstarleague.com/lol/teams/10696,3 - 2,3,2,6 - 4,6,4,Gold 1,16.0,"https://na.op.gg/multi/query=theasianflare,nickcaponee,Rangers088,Tempus,White Wings12,Backing,",
Esports Milwaukee Varsity,North-east | 3,https://cstarleague.com/lol/teams/9291,3 - 2,3,2,6 - 4,6,4,Gold 2,15.0,"https://na.op.gg/multi/query=Sen7,Heelwax,FortuneNate,Gohnja,HairySchu,Simba Strength,im pog,Próject Jinx,OscieB,Laning Cat,",
Esports Milwaukee JV,North-east | 3,https://cstarleague.com/lol/teams/9292,3 - 3,3,3,6 - 6,6,6,Gold 4,13.0,"https://na.op.gg/multi/query=Sen7,Heelwax,eSpadess,Gohnja,Lûkas,Simba Strength,Próject Jinx,OscieB,EggySonic,",
Towson Underdogs,North-east | 3,https://cstarleague.com/lol/teams/11282,2 - 5,2,5,4 - 10,4,10,Gold 3,14.0,"https://na.op.gg/multi/query=bite454,Land0n,Dinoslashz,Omega Nox,PlatedPaladin,cloutdreams,HmmmmWaitDuh,EliteToxicDeath,",
Barbie and the Kens,North-east | 3,https://cstarleague.com/lol/teams/11108,1 - 3,1,3,4 - 7,4,7,Platinum 4,17.0,"https://na.op.gg/multi/query=Øctave,Dairy Queen,Wolfenite,thank you sorry,feifire,Sanddome,Nalgi,Spudry,",
TCNJ CGC Team Two,North-east | 3,https://cstarleague.com/lol/teams/2932,1 - 4,1,4,2 - 8,2,8,Silver 4,9.0,"https://na.op.gg/multi/query=Unfest,BLeever,Mysteryward1,IWontDominate17,r0shm0sh,Matt Park,Lolí,Prídé,ATP19,veggieboy,","https://na.op.gg/multi/query=DarkEnergyFlux,Yadomi jinta,HierophantGreens,HydroNAMIac,sparkey705,HLX Nightmare,RAPdawg530,hogeon,Eliann,scrfed,Kyouka09,Pocket Support,"
Sole A Team of Johns Hopkins,North-east | 3,https://cstarleague.com/lol/teams/9305,1 - 3,1,3,2 - 7,2,7,Gold 3,14.0,"https://na.op.gg/multi/query=FlamingTurtle,LethargicShrew00,Akainote,Dangos,DKDKDKDKDKDKDK,ACS Drixitup,UItraviolence,",
Johns Hopkins Bluejays,North-east | 3,https://cstarleague.com/lol/teams/11509,0 - 12,0,12,0 - 24,0,24,Gold 2,15.0,"https://na.op.gg/multi/query=25th Sol,Nytesdawn,The Wòlf,Rixi,idrivecar,Cornhustler,",
MESC JV I Cee,North-east | 2,https://cstarleague.com/lol/teams/10043,6 - 0,6,0,12 - 1,12,1,Platinum 1,20.0,"https://na.op.gg/multi/query=Dabbing Dad,DuhChappers,Newb the Legend,Dyego,Jeanne fan club,Happi Feet,Erikkun,Nîer 2b,PieLyfe,",
MESC JV I B,North-east | 2,https://cstarleague.com/lol/teams/6909,4 - 1,4,1,9 - 2,9,2,Platinum 1,20.0,"https://na.op.gg/multi/query=Mikę,Dyego,iCarpenter,Arthwook,Wholy Bagel,Lagging Support,Qube,",
